"LENOVO V15 G4 AMN (82YU0044UE) AMD Atlon Silver 7120U (up to 3.5Ghz), 15.6"" LED FULL HD (1920 x 1080), 8GB DDR5-4800Mhz, 1TB SSD PCIe NVMe M.2, AMD Radeon 610M Graphics, WiFi, BT 5.1, HD 720P Cam, LAN, RJ45, USB Type-C, замок Kensington, Eng-Rus DOS,https://www.link.kg/catalog/1/41504549",31514.7 ⊆ ,349 $
"Ноутбук HP 15s-eq1129ur 22V36EA#ACB AMD Athlon 3020e (1.20GHz-2.60GHz), 4GB DDR4, 256GB SSD, AMD Radeon Graphics 3, 15.6""FHD (1920x1080) IPS, WiFi ac, BT 4.2, HD WC, CR, DOS, Русская клавиатура, Greyhttps://www.link.kg/catalog/1/41499821",30702 ⊆ ,340 $
"Ноутбук Asus VivoBook 14 (X413JA-211.VBWB) 14"" FHD (1920x1080) WVA(IPS), i3-1005G1 (1.2GHz-3.4GHz), 4GB DDR4, 128GB SSD PCIe NVMe, UHD Graphics G1, USB-C, WiFiac, BT, HDWC, (Eng+Rus), Win10 Home, Dreamy White(*id 12)https://www.link.kg/catalog/1/41506343",30160.2 ⊆ ,334 $
"ASUS VivoBook X515FA-EJ186W 15.6"" FHD i3-10110U 2.1-4.1GHz,4GB,1TB, WIN11,RUS,SLATE GRAYhttps://www.link.kg/catalog/1/41503162",30250.5 ⊆ ,335 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 256GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374342",30792.3 ⊆ ,341 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080),20GB, 256GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12)https://www.link.kg/catalog/1/41506213",30250.5 ⊆ ,335 $
"Acer Aspire 3 A315-56 i3-1005G1 1.2-3.4GHz,8GB, 1TB + SSD 128GB, 15.6""FHD LED ,RUS,BLACK (12мес)https://www.link.kg/catalog/1/41503255",30431.1 ⊆ ,337 $
"Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 (3.00-4.10Ghz), 4GB, 128GB SSD, 14” (1920X1080), UHD Graphics, WiFi, BT, Win11 Homes, Platinum Grey [81X700FGUS](*id 12)https://www.link.kg/catalog/1/41506236",30431.1 ⊆ ,337 $
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 8GB, 1TB, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, BLACK + сумка Asus вhttps://www.link.kg/catalog/1/41504814",31966.2 ⊆ ,354 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 12GB, 1TB +256GB SSD NVMe, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12)https://www.link.kg/catalog/1/41506229",30521.4 ⊆ ,338 $
